view_pair,residuals,rmse,a_R,b_R,a_t,b_t,distance
0 1,0.0064348849999999996,0.0113411,"[[ 9.99998956e-01 -8.63803739e-04  1.15824001e-03]
 [ 8.64629447e-04  9.99999372e-01 -7.12587813e-04]
 [-1.15762375e-03  7.13588518e-04  9.99999075e-01]]","[[ 9.99999926e-01  3.47147311e-05  3.83590401e-04]
 [-3.47959250e-05  9.99999977e-01  2.11663635e-04]
 [-3.83583045e-04 -2.11676967e-04  9.99999904e-01]]",[ 0.00058374 -0.0015065   0.00139284],[ 0.00108785 -0.010376    0.0016274 ],0.9265611073605383
1 2,0.009930035,0.0168076,"[[ 9.99998804e-01  9.80922692e-04  1.19591832e-03]
 [-9.80549931e-04  9.99999471e-01 -3.12240227e-04]
 [-1.19622397e-03  3.11067196e-04  9.99999236e-01]]","[[ 9.99999346e-01  1.14325200e-03  1.96855784e-05]
 [-1.14320567e-03  9.99996901e-01 -2.21154477e-03]
 [-2.22138704e-05  2.21152082e-03  9.99997554e-01]]",[0.00116195 0.00043604 0.00058234],[ 0.00173205 -0.01147264  0.00029353],0.9915341537288419
2 3,0.007344465,0.0138933,"[[ 9.99998677e-01  1.62235868e-03  1.18121154e-04]
 [-1.62238008e-03  9.99998668e-01  1.81243483e-04]
 [-1.17826955e-04 -1.81434881e-04  9.99999977e-01]]","[[ 9.99997860e-01  1.94513877e-03 -7.05261503e-04]
 [-1.94515039e-03  9.99998108e-01 -1.57995924e-05]
 [ 7.05229437e-04  1.71713982e-05  9.99999751e-01]]",[ 0.00041747  0.00150363 -0.00055421],[ 0.00057249 -0.00879542 -0.00057329],1.0000752197999156
3 4,0.0112866,0.0179348,"[[ 9.99999604e-01 -1.82964934e-04  8.71042103e-04]
 [ 1.83364909e-04  9.99999878e-01 -4.59133334e-04]
 [-8.70957991e-04  4.59292870e-04  9.99999515e-01]]","[[ 9.99999382e-01  9.20890889e-04 -6.22757193e-04]
 [-9.20754825e-04  9.99999552e-01  2.18738011e-04]
 [ 6.22958348e-04 -2.18164470e-04  9.99999782e-01]]",[ 0.00050193 -0.00071949  0.00095004],[ 0.00130118 -0.00978463  0.00084509],0.9406459952735345
4 5,0.00956372,0.0160663,"[[ 9.99994826e-01  3.03634723e-03  1.06263877e-03]
 [-3.03645720e-03  9.99995385e-01  1.01887017e-04]
 [-1.06232450e-03 -1.05113147e-04  9.99999430e-01]]","[[ 9.99995134e-01  3.10560894e-03  2.94902804e-04]
 [-3.10548558e-03  9.99995091e-01 -4.17851726e-04]
 [-2.96199040e-04  4.16933877e-04  9.99999869e-01]]",[ 0.00091392  0.00248089 -0.00030321],[ 0.00091936 -0.00834395 -0.00052796],1.0336920508008327
5 6,0.00755078,0.0132741,"[[ 9.99998992e-01 -4.84428510e-04  1.33487539e-03]
 [ 4.85258985e-04  9.99999689e-01 -6.21882633e-04]
 [-1.33457371e-03  6.22529767e-04  9.99998916e-01]]","[[ 9.99999954e-01  9.62773017e-05  2.86747697e-04]
 [-9.60270062e-05  9.99999615e-01 -8.72762977e-04]
 [-2.86831613e-04  8.72735402e-04  9.99999578e-01]]",[ 0.00097605 -0.00100256  0.00106658],[ 0.00103138 -0.01044139  0.00103142],0.9399518393791364
6 7,0.009307909999999999,0.0162203,"[[ 9.99998494e-01 -1.57628473e-03 -7.25792674e-04]
 [ 1.57589779e-03  9.99998616e-01 -5.33397868e-04]
 [ 7.26632456e-04  5.32253290e-04  9.99999594e-01]]","[[ 0.99999761 -0.00160657 -0.00148123]
 [ 0.00160479  0.99999799 -0.0012047 ]
 [ 0.00148317  0.00120232  0.99999818]]",[-6.89745644e-04 -1.68722064e-03 -8.20474927e-05],[-0.0007058  -0.01191701 -0.00034544],0.9598308226311695
7 8,0.009547924999999999,0.0146541,"[[ 9.99999935e-01 -2.91303430e-04  2.12938357e-04]
 [ 2.91399359e-04  9.99999856e-01 -4.50608740e-04]
 [-2.12807062e-04  4.50670760e-04  9.99999876e-01]]","[[ 9.99999645e-01  4.68211493e-04 -7.01086139e-04]
 [-4.69257454e-04  9.99998776e-01 -1.49249555e-03]
 [ 7.00386477e-04  1.49282401e-03  9.99998640e-01]]",[ 1.05874883e-05 -7.52547062e-04  4.04691260e-04],[ 0.00143877 -0.01150969  0.000588  ],0.9787011007878607
8 9,0.009967155,0.0174055,"[[ 9.99999028e-01  1.24597700e-03  6.26331258e-04]
 [-1.24586997e-03  9.99999209e-01 -1.71246273e-04]
 [-6.26544131e-04  1.70465779e-04  9.99999789e-01]]","[[ 9.99998615e-01  1.66033182e-03 -1.11550638e-04]
 [-1.66037032e-03  9.99998562e-01 -3.45927274e-04]
 [ 1.10976124e-04  3.46112011e-04  9.99999934e-01]]",[0.00071505 0.00078922 0.00030176],[ 0.00146837 -0.00959597  0.00033513],0.9907946429549442
